GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coffee-machine,fr.imt.coffee.storage.cupboard.coffee.type,CoffeeType,0,33,0,0,0,6,0,1,0,1
coffee-machine,fr.imt.coffee.machine,CoffeeMachine,9,238,0,18,3,61,2,28,2,19
coffee-machine,fr.imt.coffee.machine,EspressoCoffeeMachine,2,127,2,16,0,25,2,9,0,2
coffee-machine,fr.imt.coffee,MainEspresso,103,0,0,0,32,0,3,0,3,0
coffee-machine,fr.imt.coffee,MainCoffee,109,0,0,0,34,0,3,0,3,0
coffee-machine,fr.imt.coffee.storage.cupboard,FabricCupboardContainer,31,0,4,0,7,0,5,0,3,0
coffee-machine,fr.imt.coffee.machine.component,BeanTank,0,23,0,0,0,9,0,4,0,4
coffee-machine,fr.imt.coffee.machine.component,Tank,6,29,0,0,2,10,2,4,2,4
coffee-machine,fr.imt.coffee.machine.component,CoffeeGrinder,0,32,0,0,0,10,0,3,0,3
coffee-machine,fr.imt.coffee.machine.component,WaterPump,3,37,0,0,1,11,1,3,1,3
coffee-machine,fr.imt.coffee.machine.component,WaterTank,0,6,0,0,0,2,0,1,0,1
coffee-machine,fr.imt.coffee.machine.component,SteamPipe,11,6,0,0,5,3,3,1,3,1
coffee-machine,fr.imt.coffee.machine.component,ElectricalResistance,3,38,0,0,1,10,1,3,1,3
coffee-machine,fr.imt.coffee.machine.exception,CoffeeTypeCupDifferentOfCoffeeTypeTankException,0,4,0,0,0,2,0,1,0,1
coffee-machine,fr.imt.coffee.machine.exception,MachineNotPluggedException,0,4,0,0,0,2,0,1,0,1
coffee-machine,fr.imt.coffee.machine.exception,CannotMakeCremaWithSimpleCoffeeMachine,0,4,0,0,0,2,0,1,0,1
coffee-machine,fr.imt.coffee.machine.exception,LackOfWaterInTankException,0,4,0,0,0,2,0,1,0,1
coffee-machine,fr.imt.coffee.storage.cupboard.exception,ExceptionContainerCreation,4,0,0,0,2,0,1,0,1,0
coffee-machine,fr.imt.coffee.storage.cupboard.exception,CupNotEmptyException,0,4,0,0,0,2,0,1,0,1
coffee-machine,fr.imt.coffee.storage.cupboard.container,CoffeeContainer,13,14,0,0,4,5,2,2,2,2
coffee-machine,fr.imt.coffee.storage.cupboard.container,Container,26,13,0,0,9,6,5,2,5,2
coffee-machine,fr.imt.coffee.storage.cupboard.container,Cup,8,0,0,0,4,0,2,0,2,0
coffee-machine,fr.imt.coffee.storage.cupboard.container,Mug,4,0,0,0,2,0,1,0,1,0
coffee-machine,fr.imt.coffee.storage.cupboard.container,CoffeeMug,5,5,0,0,2,2,1,1,1,1
coffee-machine,fr.imt.coffee.storage.cupboard.container,CoffeeCup,5,5,0,0,2,2,1,1,1,1
